time_s,K=0.0_mean,K=0.0_std,K=1.0_mean,K=1.0_std,learned_mean,learned_std
6.26,0.604178786277771,0.10279080084957071,0.5575993316514152,0.10491954620391283,0.5189456343650818,0.12620468889900874
6.28,0.6041437983512878,0.10273117133857566,0.5591773603643689,0.10459166702116593,0.5170067506177085,0.1275488352349854
6.3,0.6041095043931689,0.10267871716413458,0.5614537426403591,0.10506698655496916,0.5159318447113037,0.1286629943771614
6.32,0.6040755254881722,0.1026333460397087,0.5647160538605281,0.10640807443765432,0.5158137679100037,0.12945427954599303
6.34,0.6040411932127816,0.10259528174759498,0.5687763946396964,0.10855106067496695,0.5166197334017072,0.12999130852808097
6.36,0.6040066693510328,0.10256405644226749,0.573573282786778,0.11164625402379759,0.5182692110538483,0.13036030005788918
6.38,0.6039726861885616,0.10253886460491327,0.5786324058260236,0.11563827817055357,0.520650714635849,0.13068938460645843
6.4,0.6039398568017142,0.1025188924793813,0.5844127408095768,0.12057876634046513,0.5237737085138049,0.13105081187624312
6.42,0.6039094924926758,0.10250287006388391,0.5907747064317975,0.12631367539099692,0.5277568442480904,0.13143946374530047
6.44,0.6038829897131238,0.10248928850787647,0.5976832849638802,0.1326835481942709,0.53265067083495,0.1318049150809601
6.46,0.6038620812552316,0.1024720815646652,0.6043173670768738,0.1384424267190222,0.538570591381618,0.13220040451553816
6.48,0.6038531150136676,0.1024387436610662,0.6091614323002952,0.14140151672227697,0.5454909546034676,0.13271485657566193
6.5,0.603851991040366,0.1024075969330494,0.6134692089898246,0.14338619380456905,0.5533183770520347,0.1335257736402842
6.5200000000000005,0.6038560228688377,0.10239088253925571,0.6178326053278786,0.14519845454455493,0.5619770629065377,0.13486049559359023
6.54,0.6038613361971719,0.10238563400301223,0.6224621108600071,0.14715672860181658,0.5714491903781891,0.13696421970794312
6.5600000000000005,0.6038649933678764,0.10238751630311325,0.6272742322513035,0.14927859654018372,0.581328843321119,0.13968162308299167
6.58,0.6038653893130166,0.10239656676852596,0.6321337308202472,0.15146382501031228,0.5915983447006771,0.14310773497317708
6.6000000000000005,0.6038623409611839,0.10241331396016677,0.6369748754160744,0.15363959580287076,0.6018809974193573,0.14733723014935626
6.62,0.6038573384284973,0.10243682766928865,0.6417245822293418,0.15571002823134986,0.6120656175272805,0.15219025443320852
